Host_Id,Name,Neighbourhood ,Property_Type,Review_Scores_Rating_bin,Room_Type,Zipcode,Beds,Number_of_Records,Number_Of_Reviews,Price
7338,East Vil  1br in 2br apt + balcony,Manhattan,Apartment,100,Private room,10009,1,1,3,125
7386,Quiet Slice of Manhattan,Manhattan,Apartment,90,Entire home/apt,10016,1,1,42,129
7356,BlissArtsSpace!,Brooklyn,Apartment,90,Private room,11216,1,1,41,50
7356,Private Bliss Art Space 2,Brooklyn,Apartment,90,Private room,11216,1,1,52,50
7414,Historic Fort Greene - Red Rooster,Brooklyn,Apartment,80,Entire home/apt,11217,3,1,15,185
7414,Historic Fort Greene-Deco on Greene,Brooklyn,Apartment,85,Entire home/apt,11217,3,1,21,185
7414,Skylight on Greene,Brooklyn,Apartment,75,Entire home/apt,11217,3,1,6,150
7498,Your own studio+patio no roommates,Manhattan,Apartment,80,Entire home/apt,10002,1,1,1,80
7510,Big Lovely Chelsea Studio! Sleeps 5,Manhattan,Apartment,85,Entire home/apt,10010,1,1,8,190
7510,Grande Super Large APT !!!,Manhattan,Apartment,80,Entire home/apt,10010,3,1,10,190
7510,Great Apartment with PATIO!!,Manhattan,Apartment,80,Entire home/apt,10010,2,1,1,190
7510,Super Large APT,Manhattan,Apartment,80,Entire home/apt,10010,2,1,29,175
7510,HUGE and SUNNY one bedroom!,Manhattan,Apartment,90,Entire home/apt,10011,2,1,29,190
7549,Cute & Cozy Lower East Side 1 bdrm,Manhattan,Apartment,90,Entire home/apt,10002,1,1,112,140
7549,"Cute,Cozy Lower East Side 1bdrm",Manhattan,Apartment,95,Entire home/apt,10002,1,1,4,140
7549,LowerEastSide apt share shortterm 2,Manhattan,Apartment,95,Private room,10002,1,1,25,75
7549,LowerEastSide apt share shortterm 1,Manhattan,Apartment,95,Shared room,10002,1,1,132,45
7549,LowerEastSide apt share shortterm 3,Manhattan,Apartment,95,Shared room,10002,1,1,17,45
7611,Artist's Loft with indoor Hammock!,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,51,135
7626,L.E.S. Must See!!,Manhattan,Apartment,85,Entire home/apt,10002,1,1,156,100
7612,Cute Cozy Studio in Manhattan,Manhattan,Apartment,90,Entire home/apt,10023,1,1,29,145
7702,Beautiful 1br on Upper West Side,Manhattan,Apartment,90,Entire home/apt,10025,1,1,30,135
7740,Cozy Girly Studio; Upper West Side,Manhattan,Apartment,90,Entire home/apt,10024,1,1,98,200
7949,Creative Charm in Brooklyn,Brooklyn,Apartment,100,Private room,11238,1,1,4,65
7999,Sunny Large 1 Bedroom w/ balconies!,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,1,165
7987,Upper West Side-Unique One Bedroom,Manhattan,Apartment,90,Entire home/apt,10025,1,1,24,145
7989,Central Manhattan/near Broadway,Manhattan,Apartment,95,Private room,10036,1,1,74,135
8057,GREAT NEW LOWER EAST SIDE/ SOHO APT,Manhattan,Apartment,85,Entire home/apt,10002,2,1,20,225
8057,HUGE 2 BEDROOM LOFT NOHO/EAST VILL.,Manhattan,Apartment,75,Entire home/apt,10003,3,1,32,250
8057,Ideal Charming Large W Village Apt!,Manhattan,Apartment,85,Entire home/apt,10014,3,1,32,250
8057,HUGE MODERN LUXURY-2bed/2bath+patio,Manhattan,Loft,100,Entire home/apt,10009,2,1,5,600
8178,Location! Location! Location!,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,188,145
8178,Sunny Beautiful Sublet All Yours!!!,Brooklyn,Apartment,90,Entire home/apt,11215,3,1,221,149
8198,Park Slope haven 15 mins from Soho,Brooklyn,Apartment,90,Entire home/apt,11217,1,1,39,150
8380,River view in the Village,Manhattan,Apartment,95,Entire home/apt,10014,1,1,57,200
8440,Beautiful studio by Prospect Park,Brooklyn,Apartment,0,Entire home/apt,11218,1,1,0,120
8440,Luxe 1BD apartment by Prospect Park,Brooklyn,Apartment,95,Entire home/apt,11218,1,1,4,150
8425,Charming W.Village Apt. 8/25-9/15,Manhattan,Apartment,100,Entire home/apt,10014,1,1,1,175
8605,Sunny 1BR East Harlem Apartment,Manhattan,Apartment,90,Entire home/apt,10035,2,1,11,109
8730,Comfort & Convenience,Manhattan,Condominium,100,Entire home/apt,10003,6,1,4,1990
8703,"Clean, Safe, Convenient, Comfy",Manhattan,Apartment,100,Shared room,10027,1,1,3,80
8967,Large Furnished Room Near B'way,Manhattan,Apartment,85,Private room,10019,1,1,242,73
9744,"Beautiful Apt, Garden #3 Best Area",Brooklyn,Apartment,95,Entire home/apt,11215,3,1,67,135
9744,Gorgeous house Room 2 BEST location,Brooklyn,House,95,Private room,11215,2,1,95,89
9744,"Gorgeous Room #1, Best Location",Brooklyn,House,90,Private room,11215,2,1,118,89
10176,"Amazing Apt in WILLIAMSBURG, NY!!",Brooklyn,Apartment,95,Entire home/apt,11211,2,1,60,250
10151,Cozy Convenient Apt for Travelers,Queens,Apartment,0,Entire home/apt,11358,1,1,0,99
10889,BnoB (2 br) — Heart of Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,132,250
10889,The Institute—Heart of Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,136,250
10889,Great house in Williamsburg,Brooklyn,House,95,Entire home/apt,11211,2,1,14,250
11037,"Large, Sunny, Central 2br; Terrace",Brooklyn,Apartment,100,Entire home/apt,11217,2,1,2,240
11358,Bright Clean Spacious 1BR,Brooklyn,Apartment,0,Entire home/apt,11213,1,1,0,115
11358,Bright Clean Room in Bushwick,Brooklyn,Apartment,0,Private room,11237,1,1,0,72
11481,House on 11th - Garden Level Apt.,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,119,165
11481,Sunset Retreat - Charming Oasis,Brooklyn,Apartment,90,Entire home/apt,11220,1,1,79,90
11481,Sunset Retreat - Top Floor Oasis,Brooklyn,Apartment,85,Entire home/apt,11220,1,1,21,105
11481,House on Henry (2nd FLR Suite),Brooklyn,Apartment,85,Entire home/apt,11231,2,1,68,155
11481,House on Henry (3rd FLR Suite),Brooklyn,Apartment,90,Entire home/apt,11231,2,1,106,160
11810,NYC Historic District Posh Studio,Queens,Apartment,0,Private room,11372,1,1,0,150
12169,"Dream Come True, Too! Williamsburg",Brooklyn,Apartment,90,Private room,11211,1,1,43,89
12169,"Dream Come True! Williamsburg, BK",Brooklyn,Apartment,90,Private room,11211,1,1,91,99
12221,5Minutes To Manhattan Cozy Oasis,Bronx,Apartment,80,Private room,10451,3,1,105,42
12221,5Minutes To Manhattan Zen&Cozy,Bronx,Apartment,85,Private room,10451,3,1,96,42
12220,Big Room in front of Central Park,Manhattan,Apartment,85,Private room,10025,1,1,74,132
12220,Your Room in front of Central Park,Manhattan,Apartment,90,Private room,10025,1,1,141,117
12712,Lovely Bklyn Apt with Private Deck,Brooklyn,Apartment,90,Entire home/apt,11205,1,1,5,135
12712,Perfectly Situated LES 1-Bedroom,Manhattan,Apartment,90,Entire home/apt,10002,1,1,146,125
12712,Real 2-Bedroom East Village Apt!,Manhattan,Apartment,85,Entire home/apt,10009,3,1,63,200
12869,Luxury on a Budget,Manhattan,Apartment,90,Entire home/apt,10009,1,1,13,250
13070,Spacious clean & quiet 2 bed/2bath,Manhattan,Bed & Breakfast,80,Entire home/apt,10128,2,1,58,295
13424,An Oasis In Hell's Kitchen!,Manhattan,Apartment,100,Entire home/apt,10019,1,1,7,280
13654,Room with a view in Central Harlem,Manhattan,Apartment,85,Private room,0,1,1,11,75
13908,2 BR Upper West Side Apt.,Manhattan,Apartment,65,Entire home/apt,10025,3,1,12,150
14063,BK Heights Apartment for cat lovers,Brooklyn,Apartment,100,Entire home/apt,11201,3,1,4,125
14204,Charming 2 Bedroom Red Hook Loft!,Brooklyn,Apartment,100,Entire home/apt,11231,2,1,18,230
14204,Private room in Red Hook loft!,Brooklyn,Apartment,95,Private room,11231,1,1,21,110
15192,Cozy Furnished 2 Bedroom Apartment,Brooklyn,Apartment,80,Entire home/apt,11216,3,1,8,159
15154,"Bright 1 Bedroom, Perfect Location!",Manhattan,Apartment,80,Entire home/apt,10023,1,1,2,160
15167,2 Bed 2 Bath Apt w/ balcony & WiFi,Manhattan,Apartment,95,Entire home/apt,10031,3,1,13,107
15261,Cute room in hip Fort Greene,Brooklyn,Apartment,80,Private room,11205,1,1,1,50
15523,Enjoy and discover New York Citi,Staten Island,House,95,Private room,10304,0,1,7,69
15742,"Beautiful, private, uptown studio",Manhattan,Apartment,80,Entire home/apt,10031,1,1,20,110
15964,"Large Brooklyn Duplex, Park Slope",Brooklyn,Apartment,0,Entire home/apt,11215,3,1,0,175
16851,"Hip Whole Apt in Wmsburg, Brooklyn",Brooklyn,Apartment,90,Entire home/apt,11211,1,1,8,125
16800,UES Beautiful Blue Room / Oak Room,Manhattan,Apartment,95,Private room,10029,2,1,150,95
16800,UES Beautiful Home Red Velvet Room,Manhattan,Apartment,95,Private room,10029,2,1,41,95
16883,Spacious Charming Loft Studio,Manhattan,Loft,90,Entire home/apt,10024,2,1,4,135
17296,Bright studio in central Mahattan,Manhattan,Apartment,95,Entire home/apt,10016,1,1,5,100
17571,Perfect for Grandparents + Garden,Brooklyn,House,95,Entire home/apt,11205,2,1,80,200
17571,Perfect for Parents (Part 2),Brooklyn,House,95,Private room,11205,1,1,32,239
17655,Modern LES Studio w/ Skyline Views,Manhattan,Apartment,95,Entire home/apt,10002,1,1,17,220
17930,Charming 2 Bedroom by Prospect Park,Brooklyn,Apartment,100,Entire home/apt,11218,3,1,1,199
17798,EAST VILLAGE DESIGNER LUXURY LOFT,Manhattan,Apartment,100,Entire home/apt,10009,3,1,4,399
17985,Amazing Chinatown/SOHO one bed room,Manhattan,Apartment,85,Entire home/apt,10002,2,1,38,130
18118,Giant & beautiful home in the sky.,Manhattan,Apartment,0,Private room,10031,1,1,0,70
18229,Charming & Sunny Slope Duplex Loft,Brooklyn,Loft,0,Entire home/apt,11215,2,1,0,110
18174,Cosy 2 bedroom in East Village,Manhattan,Apartment,90,Entire home/apt,10003,3,1,55,160
18374,Bright & Modern Downtown Studio,Manhattan,Apartment,95,Entire home/apt,10003,1,1,89,135
18611,East Village sunny & large 2 bdr,Manhattan,Apartment,95,Entire home/apt,10003,2,1,5,350
18642,1 BDR with private toilet/sink,Manhattan,Apartment,0,Private room,10031,1,1,0,60
18729,"SPACIOUS, BEAUTIFUL CONDO IN BKLYN!",Brooklyn,Condominium,95,Entire home/apt,11215,2,1,9,375
19031,Charming Greenwich Village Apt,Manhattan,Apartment,80,Entire home/apt,10012,1,1,14,225
19852,Lg Beautiful Garden Apt Sleeps 2,Manhattan,Apartment,95,Entire home/apt,10035,1,1,8,165
19969,SoHo Loft - Entire Floor,Manhattan,Apartment,95,Entire home/apt,10013,1,1,52,585
20149,Cool East Williamsburg Apartment,Brooklyn,Apartment,95,Private room,11206,1,1,46,40
20805,Huge Brooklyn Room with Aussie Host,Brooklyn,Apartment,100,Private room,11225,1,1,12,85
21286,UWS Garden Getaway,Manhattan,Apartment,95,Entire home/apt,10024,2,1,9,225
21306,"Large, Bright 1 bdr in Williamsburg",Brooklyn,Apartment,95,Private room,11222,1,1,11,110
21475,High-end doorman bldg in the LES,Manhattan,Apartment,95,Private room,10002,1,1,55,125
21823,Soaring Bushwick 3 Bedroom,Brooklyn,Apartment,95,Entire home/apt,11221,5,1,9,275
21904,Modern 1 BR / NYC / EAST VILLAGE,Manhattan,Apartment,90,Entire home/apt,10003,1,1,8,240
22220,Modern brick 1 bedroom on UES,Manhattan,Apartment,90,Entire home/apt,10028,1,1,17,175
22486,CBG Williamsburg  loft room,Brooklyn,Loft,75,Entire home/apt,11211,4,1,6,130
22486,CBG Partner Prospect Pk Helps Haiti,Brooklyn,Apartment,0,Private room,11225,1,1,0,90
22486,CBG CtyBeGoodHelpsHaiti#1:1-4,Brooklyn,House,90,Private room,11217,10,1,77,130
22486,CommunityBeGood Helps Haiti Rm #2,Brooklyn,House,85,Private room,11217,1,1,39,130
22486,CommunityBeGood Helps Haiti Rm #3,Brooklyn,House,85,Private room,11217,2,1,13,130
22486,CommunityBeGoodHelpsHaiti #5 Suite,Brooklyn,House,100,Private room,11217,2,1,3,130
22486,CommunitybegoodHelpsHaiti#2.5,Brooklyn,House,90,Private room,11217,2,1,17,120
23048,Park Slope Oasis: Your home base!,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,18,139
23276,"Luxe, Spacious 2BR 2BA Nr Trains",Brooklyn,Apartment,100,Entire home/apt,11215,2,1,3,260
23193,"Bright, cozy den in 4 bedrm duplex.",Brooklyn,House,100,Private room,11221,1,1,2,35
23435,Spectacular River View Studio,Manhattan,Apartment,95,Entire home/apt,10281,1,1,48,185
23577,Williamsburg foodie inspired loft,Brooklyn,Loft,95,Entire home/apt,11249,1,1,16,175
23727,Prospect Heights quiet sunny nest,Brooklyn,Apartment,95,Entire home/apt,11238,2,1,6,150
23633,1,Brooklyn,Loft,0,Private room,11206,1,1,0,120
23856,Large modern 2-BR by McCaren Park,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,2,150
23843,Lower East Side/EV 1 BR Charmer,Manhattan,Apartment,95,Entire home/apt,10002,1,1,15,175
24000,sunny EAST VILLAGE bdrm!,Manhattan,Apartment,90,Private room,10009,1,1,80,133
24222,"3BR, 1.5 BA EV apt w/ backyard",Manhattan,Apartment,95,Entire home/apt,10009,4,1,9,375
24901,Beautiful Light Filled Abode,Brooklyn,Apartment,0,Entire home/apt,11233,2,1,0,150
25183,MAISON DES SIRENES 3,Brooklyn,Apartment,90,Entire home/apt,11216,4,1,23,150
25183,"MAISON DES SIRENES1,book NOW",Brooklyn,Apartment,90,Entire home/apt,11216,4,1,36,150
25100,Room in UWS steps to Central Park!,Manhattan,Apartment,90,Private room,10025,1,1,4,180
25533,NYC Sofa bed St Marks East Village,Manhattan,Apartment,80,Private room,10003,1,1,30,59
25533,NYC Spacious Room East Village,Manhattan,Apartment,70,Private room,10003,1,1,14,99
25533,NYC Spacious Room East Village (2),Manhattan,Apartment,90,Private room,10003,1,1,3,99
